App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
Easy Notes 8,Works perfectly on my device. No issues at all.,Positive,0.9679,0.7183
Easy Notes 8,Didn't work as advertised. Uninstalled.,Negative,-0.5339,0.8392
Easy Notes 8,"Very disappointing, too many ads.",Negative,-0.5944,0.4381
Easy Notes 8,Great app! Love it!,Positive,0.7025,0.9521
Easy Notes 8,Excellent features and intuitive interface.,Positive,0.6616,0.9546
Easy Notes 8,Very useful and easy to use.,Positive,0.6833,0.7334
Easy Notes 8,Best app in this category. Highly recommended!,Positive,0.7928,0.7139
Easy Notes 8,"Very disappointing, too many ads.",Negative,-0.9573,0.9366
Easy Notes 8,This app is exactly what I was looking for!,Positive,0.6549,0.6553
Easy Notes 8,Best app in this category. Highly recommended!,Positive,0.6134,0.952
Ultimate Browser 3,"Some features are good, others need work.",Neutral,-0.3845,0.5289
Ultimate Browser 3,Very frustrating experience using this app.,Negative,-0.5452,0.7437
Ultimate Browser 3,Works perfectly on my device. No issues at all.,Positive,0.9364,0.8702
Ultimate Browser 3,Best app in this category. Highly recommended!,Positive,0.6517,0.575
Ultimate Browser 3,Amazing performance and great UI.,Positive,0.979,0.6522
Ultimate Browser 3,Excellent features and intuitive interface.,Positive,0.6682,0.53
Ultimate Browser 3,This app is amazing. I use it every day.,Positive,0.5903,0.6399
Ultimate Browser 3,The app is very slow and buggy.,Negative,-0.6164,0.4441
Ultimate Browser 3,Very useful and easy to use.,Positive,0.9272,0.3034
Ultimate Browser 3,The app is okay but could be better.,Neutral,-0.2805,0.657
Easy Scanner 8,Very useful and easy to use.,Positive,0.7385,0.8844
Easy Scanner 8,This app keeps crashing on my device.,Negative,-0.5519,0.8647
Easy Scanner 8,This app is amazing. I use it every day.,Positive,0.7109,0.4608
Easy Scanner 8,The app is very helpful and well designed.,Positive,0.8217,0.4838
Easy Scanner 8,Great app! Love it!,Positive,0.637,0.8608
Easy Scanner 8,Excellent features and intuitive interface.,Positive,0.5348,0.3408
Easy Scanner 8,"Not bad, but not great either.",Neutral,-0.1665,0.4209
Easy Scanner 8,The app is very helpful and well designed.,Positive,0.5494,0.8685
Easy Scanner 8,The app is very slow and buggy.,Negative,-0.5747,0.9145
Easy Scanner 8,Amazing performance and great UI.,Positive,0.6911,0.4973
Cool Editor 8,Didn't work as advertised. Uninstalled.,Negative,-0.8397,0.3655
Cool Editor 8,Very useful and easy to use.,Positive,0.5267,0.612
Cool Editor 8,Excellent features and intuitive interface.,Positive,0.6914,0.83
Cool Editor 8,Amazing performance and great UI.,Positive,0.9336,0.7711
Cool Editor 8,Great app! Love it!,Positive,0.8816,0.3956
Cool Editor 8,This app is amazing. I use it every day.,Positive,0.6215,0.9359
Cool Editor 8,Best app in this category. Highly recommended!,Positive,0.6799,0.6785
Cool Editor 8,This app keeps crashing on my device.,Negative,-0.7343,0.5798
Cool Editor 8,Average app with basic functionality.,Neutral,-0.1615,0.3885
Cool Editor 8,This app keeps crashing on my device.,Negative,-0.5748,0.59
Smart Tracker 6,This app is exactly what I was looking for!,Positive,0.8008,0.3425
Smart Tracker 6,Works perfectly on my device. No issues at all.,Positive,0.6463,0.4172
Smart Tracker 6,Best app in this category. Highly recommended!,Positive,0.8856,0.3272
Smart Tracker 6,Best app in this category. Highly recommended!,Positive,0.8606,0.5469
Smart Tracker 6,Amazing performance and great UI.,Positive,0.6516,0.6006
Smart Tracker 6,Works perfectly on my device. No issues at all.,Positive,0.5155,0.9628
