App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Easy Notes 8,PHOTOGRAPHY,4.0,489076,92M,1000000+,Free,0.0,Everyone 10+,Arcade,"February 03, 2021",6.4.3,4.0 and up
Ultimate Browser 3,FAMILY,3.9,658013,28M,10000000+,Paid,0.0,Adults only 18+,Sports,"November 06, 2021",7.4.4,7.0 and up
Easy Scanner 8,COMMUNICATION,3.1,302939,4M,100000+,Paid,0.0,Everyone 10+,Educational,"March 26, 2021",1.1.4,8.0 and up
Cool Editor 8,PRODUCTIVITY,4.3,805123,22M,10000+,Free,0.0,Teen,Casual,"May 22, 2021",3.1.3,5.0 and up
Smart Tracker 6,PERSONALIZATION,2.7,967540,76M,1000000+,Free,0.0,Everyone 10+,Word,"August 07, 2021",4.3.3,9.0 and up
Cool Messenger 8,ENTERTAINMENT,4.6,366018,45M,100000000+,Free,4.99,Adults only 18+,Sports,"November 08, 2021",3.6.8,4.0 and up
Pro Camera 2,BUSINESS,1.3,933406,67M,10000+,Paid,0.0,Adults only 18+,Arcade,"March 20, 2021",5.3.1,4.0 and up
Perfect Calculator 6,TOOLS,4.8,833741,86M,10000+,Paid,0.99,Everyone 10+,Word,"June 27, 2021",2.4.6,7.0 and up
Ultimate Monitor 9,SPORTS,3.6,17083,66M,10000+,Free,0.0,Everyone 10+,Puzzle,"July 09, 2021",9.6.4,8.0 and up
Super Cleaner 3,FAMILY,2.5,888746,88M,100000+,Free,0.99,Everyone 10+,Simulation,"January 08, 2021",6.2.4,8.0 and up
Pro Notes 9,ENTERTAINMENT,1.8,554980,34M,1000+,Paid,0.0,Mature 17+,Strategy,"August 22, 2021",8.0.0,7.0 and up
Fantastic Player 3,FINANCE,2.9,753168,91M,1000000+,Paid,0.0,Adults only 18+,Sports,"April 03, 2021",7.4.4,4.0 and up
Easy Planner 7,BUSINESS,1.8,752264,55M,1000+,Paid,0.0,Adults only 18+,Card,"November 03, 2021",1.8.0,5.0 and up
Amazing Editor 9,TOOLS,1.7,910744,1M,1000+,Paid,2.99,Mature 17+,Puzzle,"June 13, 2021",5.9.8,4.0 and up
Pro Wallet 2,NEWS_AND_MAGAZINES,3.5,407515,72M,1000+,Free,0.0,Everyone 10+,Casual,"August 07, 2021",4.7.5,8.0 and up
Simple Planner 5,EDUCATION,3.1,115369,87M,10000+,Free,0.0,Teen,Trivia,"November 01, 2021",3.3.1,9.0 and up
Amazing Notes 7,FINANCE,3.7,925441,38M,10000000+,Free,9.99,Everyone 10+,Casual,"November 16, 2021",1.7.0,4.0 and up
Pro Manager 3,TOOLS,4.7,965844,6M,10000+,Free,49.99,Everyone 10+,Casino,"June 07, 2021",1.3.9,5.0 and up
Premium Assistant 4,NEWS_AND_MAGAZINES,3.1,66717,86M,10000+,Free,0.0,Mature 17+,Adventure,"December 23, 2021",6.8.0,6.0 and up
Amazing Manager 4,SOCIAL,3.3,251361,25M,100000000+,Paid,19.99,Adults only 18+,Puzzle,"September 27, 2021",7.9.4,4.0 and up
Amazing Camera 6,TOOLS,1.4,470680,82M,100000000+,Free,0.0,Everyone 10+,Casino,"November 10, 2021",8.6.3,7.0 and up
Simple Editor 6,SOCIAL,3.9,238521,17M,1000+,Paid,0.0,Adults only 18+,Educational,"May 01, 2021",4.5.5,6.0 and up
Ultimate Analyzer 2,DATING,2.6,235728,61M,10000+,Free,0.0,Everyone,Action,"February 04, 2021",9.4.7,7.0 and up
Simple Editor 8,EDUCATION,4.9,589726,12M,1000+,Paid,49.99,Adults only 18+,Card,"May 09, 2021",5.1.5,7.0 and up
Premium Manager 5,BUSINESS,4.3,50611,6M,100000000+,Free,19.99,Teen,Simulation,"November 17, 2021",9.2.0,7.0 and up
